country,date,value,unit,label,fetched_at
de,31.01.2026,1810.98,Mrd. EUR,Kreditbestand,2026-03-04T14:35:56.378338Z
us,2026-03-02,871.377,Mrd. USD,TGA,2026-03-04T14:35:56.370750Z
